canonical_entity_name,alias_name,normalized_alias,ticker,exchange,cik,corp_code,uei,country,entity_type,mapping_confidence,verified_by,verified_at,is_active,version
Howmet Aerospace Inc.,Howmet Aerospace Inc.,howmet aerospace inc,HWM,NYSE,0000004281,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
BWX Technologies Inc.,BWX Technologies Inc.,bwx technologies inc,BWXT,NYSE,0001486957,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
Parsons Corporation,Parsons Corp.,parsons corp,PSN,NYSE,0000275880,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
V2X Inc.,V2X Inc.,v2x inc,VVX,NYSE,0001601548,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
Leonardo DRS Inc.,Leonardo DRS Inc.,leonardo drs inc,DRS,NASDAQ,0001833756,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
Mercury Systems Inc.,Mercury Systems Inc.,mercury systems inc,MRCY,NASDAQ,0001049521,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
Amentum Holdings Inc.,Amentum Holdings Inc.,amentum holdings inc,AMTM,NYSE,0002011286,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
Teledyne Technologies Inc.,Teledyne Technologies Inc.,teledyne technologies inc,TDY,NYSE,0001094285,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
GE Vernova Inc.,GE Vernova Inc.,ge vernova inc,GEV,NYSE,0001996810,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
Viasat Inc.,Viasat Inc.,viasat inc,VSAT,NASDAQ,0000797721,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
Axon Enterprise Inc.,Axon Enterprise Inc.,axon enterprise inc,AXON,NASDAQ,0001069183,,,US,PUBLIC_COMPANY,HIGH,claude+sec_edgar,2026-07-05,true,1
